,Region,Subregion,StationID,Turnout,Percentage
90,Республика Адыгея (Адыгея),Майкопская,УИК №91,0.6888888888888889,0.8279569892473119
91,Республика Адыгея (Адыгея),Майкопская,УИК №92,0.7070815450643777,0.7329286798179059
92,Республика Адыгея (Адыгея),Майкопская,УИК №93,0.6963350785340314,0.8345864661654135
93,Республика Адыгея (Адыгея),Майкопская,УИК №94,0.7433155080213903,0.8633093525179856
94,Республика Адыгея (Адыгея),Майкопская,УИК №95,0.7556719022687609,0.7575057736720554
95,Республика Адыгея (Адыгея),Майкопская,УИК №96,0.8307453416149069,0.8429906542056075
96,Республика Адыгея (Адыгея),Майкопская,УИК №97,0.614190687361419,0.7870036101083032
97,Республика Адыгея (Адыгея),Майкопская,УИК №98,0.5766283524904214,0.7358803986710963
98,Республика Адыгея (Адыгея),Майкопская,УИК №99,0.5825446898002103,0.7111913357400722
99,Республика Адыгея (Адыгея),Майкопская,УИК №100,0.609280430396772,0.8211920529801324
100,Республика Адыгея (Адыгея),Майкопская,УИК №101,0.6565517241379311,0.7415966386554622
101,Республика Адыгея (Адыгея),Майкопская,УИК №102,0.6640746500777605,0.724824355971897
102,Республика Адыгея (Адыгея),Майкопская,УИК №103,0.6309178743961352,0.7289433384379785
103,Республика Адыгея (Адыгея),Майкопская,УИК №104,0.6684118673647469,0.7859007832898173
104,Республика Адыгея (Адыгея),Майкопская,УИК №105,0.6289592760180995,0.7769784172661871
105,Республика Адыгея (Адыгея),Майкопская,УИК №106,0.8776871756856931,0.870777027027027
106,Республика Адыгея (Адыгея),Майкопская,УИК №107,0.5199729180771835,0.7356770833333334
107,Республика Адыгея (Адыгея),Майкопская,УИК №108,0.5555555555555556,0.85
108,Республика Адыгея (Адыгея),Майкопская,УИК №109,0.5696517412935324,0.87117903930131
109,Республика Адыгея (Адыгея),Майкопская,УИК №110,0.5421245421245421,0.7567567567567568
110,Республика Адыгея (Адыгея),Майкопская,УИК №111,0.5660522273425499,0.7937584803256446
111,Республика Адыгея (Адыгея),Майкопская,УИК №112,0.5738284703801945,0.7534668721109399
112,Республика Адыгея (Адыгея),Майкопская,УИК №113,0.5230071289695398,0.8079306071871127
113,Республика Адыгея (Адыгея),Майкопская,УИК №114,0.6196473551637279,0.7682926829268293
114,Республика Адыгея (Адыгея),Майкопская городская,УИК №115,0.7670753064798599,0.773972602739726
115,Республика Адыгея (Адыгея),Майкопская городская,УИК №116,0.7245017584994138,0.7475728155339806
116,Республика Адыгея (Адыгея),Майкопская городская,УИК №117,0.6604303086997194,0.7478753541076487
117,Республика Адыгея (Адыгея),Майкопская городская,УИК №118,0.6163401815575729,0.7356589147286822
118,Республика Адыгея (Адыгея),Майкопская городская,УИК №119,0.5555555555555556,0.7179916317991631
119,Республика Адыгея (Адыгея),Майкопская городская,УИК №120,0.49529935675408215,0.7232767232767233
120,Республика Адыгея (Адыгея),Майкопская городская,УИК №121,0.5249025552187094,0.7079207920792079
121,Республика Адыгея (Адыгея),Майкопская городская,УИК №122,0.5102723363592929,0.7462546816479401
122,Республика Адыгея (Адыгея),Майкопская городская,УИК №123,0.5717958134410577,0.7219010918432883
123,Республика Адыгея (Адыгея),Майкопская городская,УИК №124,0.5785191212367778,0.7046413502109705
124,Республика Адыгея (Адыгея),Майкопская городская,УИК №125,0.6849370686155095,0.7267338470657972
125,Республика Адыгея (Адыгея),Майкопская городская,УИК №126,0.5559732664995823,0.6806912096168295
